Algeria,Australia,Austria,Bahamas,Bangladesh,Barbados,Belgium,Belize,Benin,Bolivia,Botswana,Burkina_Faso,Burundi,Cameroon,Canada,Chad,Chile,China,Colombia,Congo,Costa_Rica,Denmark,Dominica,Ecuador,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Germany,Ghana,Greece,Guatemala,Guyana,Haiti,Honduras,Iceland,India,Iran,Ireland,Israel,Italy,Jamaica,Japan,Kenya,Korea,Lesotho,Liberia,Libya,Luxembourg,Madagascar,Malaysia,Mauritius,Mexico,Morocco,Myanmar,Nepal,Netherlands,New_Zealand,Niger,Nigeria,Norway,Pakistan,Panama,Papua_New_Guinea,Paraguay,Philippines,Portugal,Rwanda,Saudi_Arabia,Senegal,Sierra_Leone,Singapore,South_Africa,Spain,Sri_Lanka,St_Kitts_and_Nevis,St_Vincent_and_the_Grenadines,Sudan,Suriname,Sweden,Switzerland,Syria,Tanzania,Thailand,Togo,Trinidad_and_Tobago,Turkey,Uganda,United_Kingdom,United_States,Uruguay,Zambia
-0.039772446,0.018993337,-0.109650996,-0.025276549,-0.009421135,-0.006116519,-0.129022386,-0.060691589,-0.094696801,0.058029554,-0.060598376,-0.093538445,-0.040754919,-0.065525318,-0.002734496,-0.11711605,0.02280364,-0.040861088,-0.018679897,0.012113731,-0.322924806,-0.106264768,-0.006977889,0.028962143,-0.036019452,-0.02697943,-0.044806177,-0.057536907,-0.105022171,-0.101794949,-0.121057216,-0.080759945,-0.085466713,-0.018714122,-0.071041753,-0.025517553,-0.051003411,-0.036739671,-0.039387328,-0.040027203,-0.073043084,-0.029825692,-0.090981119,-0.006126236,-0.006641493,-0.086941158,-0.005300976,-0.055348534,-0.062810827,-0.118736688,-0.123141498,-0.0968933,-0.048144619,-0.048273388,0.052715161,-0.144452825,-0.02474457,0.011920791,-0.124038922,-0.026174142,-0.122041036,0.349626141,-0.053096794,0.009708174,-0.002212131,-0.062985778,0.044283503,-0.016006795,-0.061959536,-0.011935323,-0.017755525,-0.098860691,-0.049108264,0.009354847,-0.039327306,-0.108808907,-0.012952852,0.028024838,0.044606977,0.016666793,0.001785262,-0.08607978,-0.086436107,0.014311931,0.003033264,-0.022949212,-0.131313347,-0.00185149,-0.039970853,-0.023733727,-0.065035739,0,-0.011383838,-0.045544325
-0.019987327,0.018653163,-0.0128343,0.021955466,-0.064580112,0.003334866,-0.06970688,-0.056398585,-0.034173231,-0.036979143,-0.055917657,-0.031168952,-0.005288119,-0.02456334,-0.008823056,-0.056149685,-0.267541744,-0.000405945,0.005826539,0.011531707,-0.028834849,-0.0240807,0.015308692,-0.064452108,-0.05268663,-0.008460176,-0.039464534,-0.01354509,-0.038720475,-0.053893944,-0.02674304,-0.046638728,0.001776599,-0.020107495,-0.087067786,-0.024292252,-0.003887906,-0.056948789,-0.007893125,0.062847688,-0.001516329,0.014592254,-0.017788538,0.023033723,-0.048270451,-0.057541497,0.010452366,-0.121268635,-0.017608513,-0.067287394,-0.054980744,-0.023923059,0.004934467,-0.04433535,-0.177863407,-0.027845967,0.102915899,-0.001846636,-0.031211607,-0.022832393,-0.059108456,-0.088057899,-0.022121854,0.006835853,0.019186987,-0.046083573,-0.042094433,-0.006938916,-0.036795741,-0.030453883,-0.11489036,-0.034222402,0.042013396,0.021817233,-0.060324262,-0.031437578,0.012598491,0.01433826,0.029892156,-0.120450288,-0.003122852,-0.068786555,-0.005836367,-0.006932017,-0.002509864,-0.001738722,-0.096871121,0.046590313,-0.066922131,0.187717708,-0.034999123,0,-0.09642242,-0.043017173
-0.013517573,-0.077386489,-0.026354819,0.000209532,-0.066254827,-0.007543422,-0.05594744,-0.019469898,-0.108040714,-0.056166077,0.014670594,-0.084369313,-0.014853333,-0.024693732,-0.000440898,-0.05485242,-0.020221022,0.012623955,-0.044823753,-0.054148712,0.037559751,-0.030217136,0.005766582,-0.108522645,-0.032243156,0.002006906,-0.069330136,-0.050037214,-0.053479862,-0.071960347,-0.034348675,-0.043456097,-0.078060899,-0.027691634,-0.024915391,0.000961802,-0.024306182,-0.102133775,-0.005591627,0.046427013,-0.049832715,0.007941536,-0.016596954,0.002281944,0.004914513,-0.079963414,0.010631748,0.000624026,-0.065924172,-0.059976979,-0.039727748,-0.053382251,0.010287118,-0.03141818,-0.113490862,-0.080292941,-0.070847722,-0.033228184,-0.047845555,-0.03549129,-0.094170371,-0.210499668,-0.040746191,-0.077716798,-0.030843274,-0.007142314,-0.024364528,-0.09131917,-0.083687808,-0.025960161,-0.127013347,-0.09482053,-0.155878333,0.005811429,0.005359759,-0.093672077,-0.003406537,-0.02592669,-0.003718562,-0.071518505,-0.049828681,-0.069479659,-0.03558848,-0.013670369,-0.042340989,-0.001759705,-0.077372173,-0.058026822,-0.059901533,-0.030606238,-0.0543187,0,-0.289264084,-0.112672608
-0.015132082,-0.009089334,-0.067594225,0.020813776,-0.02248275,-0.005975652,-0.061503332,-0.00441128,-0.072342155,0.005523867,-0.032743801,-0.094374578,-0.09270206,-0.02732356,-0.02760567,-0.004402633,-0.063118164,0.004188076,-0.057255482,-0.033437302,0.011666083,-0.052915038,0.048072225,-0.059164829,-0.106586236,-0.077417099,-0.031738854,-0.028276613,-0.06741562,-0.032500113,-0.066945776,-0.017370338,-0.056696837,-0.034171959,-0.089149585,-0.002049434,-0.014219046,-0.031398733,-0.064121784,-0.041365208,-0.058680548,-0.075508335,-0.047154627,-0.231242361,-0.019899885,-0.042956155,-0.001581184,-0.118707844,-0.042122532,-0.111172103,-0.050735008,-0.133183079,-0.005145957,-0.066788556,0.021388276,-0.092597681,-0.075976067,-0.029096052,-0.071553935,-0.095726333,-0.146373846,-0.173712078,-0.040175883,-0.019971605,-0.033385725,-0.052827673,-0.154476718,-0.076603259,-0.077136549,-0.025840396,-0.095700803,-0.064137071,-0.013150985,-0.004663296,-0.108549978,-0.040862364,0.020097576,0.015276657,-0.001375156,0.051796955,-0.055324474,-0.025390289,-0.063612592,-0.059195505,-0.092674502,-0.03188433,-0.084272443,-0.047315599,-0.065153304,0.154184421,-0.068360171,0,-0.066137785,-0.142104185
-0.009170448,-0.063116256,-0.018756961,0.019835993,0.032414041,-0.008735917,-0.012595906,-0.04093576,-0.042270395,-0.096278195,-0.089279501,-0.013276069,0.029512114,0.026956139,-0.020006681,0.019219083,-0.079191409,0.042431628,-0.076866129,-0.046937134,-0.009711348,-0.00223595,-0.398103655,-0.032375596,-0.180969377,0.029309985,-0.051418394,-0.005365231,-0.011675527,-0.067161993,-0.022020099,-0.028391313,-0.030905838,-0.02798524,-0.010085946,0.00766495,-0.009117248,-0.013068747,0.002606891,0.002729577,-0.003681562,-0.060457962,-0.013555338,-0.085872425,-0.004691298,-0.047281949,-0.015149778,-0.132743894,-0.038870755,-0.012505007,-0.014882659,-0.051154497,-0.076307778,-0.016367282,-0.010298667,-0.032788064,0.018651656,-0.030942437,-0.029641438,0.026465622,-0.046711558,-0.037710495,-0.005822671,-0.041680613,-0.012856565,-0.059302963,-0.176824931,-0.047265515,0.002910026,-0.008486068,-0.108619722,0.000223605,-0.140638977,-0.041244035,-0.159742627,-0.007593672,-0.038083472,0.026469482,0.003191799,-0.147510717,-0.028052505,-0.008984607,-0.023322504,-0.070588411,0.033354776,-0.066912723,-0.015257072,-0.054774615,0.01292295,-0.051425654,-0.002997601,0,-0.040432208,-0.12242506
0.007227024,-0.021313842,0.134811782,-0.000426147,-0.039717419,0.020424493,0.12381401,0.007863285,0.074232819,-0.161540066,0.062007424,0.086113768,-0.008459805,0.109392013,-0.008801112,-0.018025682,0.001982187,-0.038315557,-0.028118068,-0.099983986,0.020887334,0.127880609,0.05550616,-0.079504329,0.059726812,-0.015328032,0.024921268,0.098409567,0.1227898,-0.023153534,0.135182937,0.075457286,0.050638825,-0.15991349,0.029341978,0.033700817,-0.000202511,0.103514454,0.000593374,0.030321979,0.110707904,0.067164593,0.131641701,0.093858461,0.1501817,0.036898229,0.038235165,0.043588861,-0.037370808,-0.148137267,0.143161167,0.026694024,-0.083328145,0.110604853,-0.188871688,0.084465045,0.002010404,0.007543353,0.12316124,0.07412379,0.08858452,-0.159718641,0.059268504,-0.024400877,-0.012489693,0.009685652,0.0232051,-0.041861888,0.135178871,0.019278854,-0.11624336,0.117899428,-0.272694822,-0.032132518,0.022475336,0.122319244,0.004467019,0.054080814,0.021813575,0.068822116,-0.016361072,0.099716292,0.13470734,-0.125588426,-0.184124248,0.017002902,0.110903197,-0.212469427,0.022770897,0.014965513,0.069204183,0,0.072477334,-0.163834162
-0.014308684,-0.011727163,0.07644645,0.010720424,0.016440812,0.01988845,0.073218722,0.052794944,0.033542661,0.009973407,0.113211856,0.032522807,-0.057544078,0.00654695,0.030754612,0.000509729,0.042625627,-0.070558177,-0.013288596,0.059961256,-0.021986195,0.072157161,-0.052024457,-0.072971268,0.075988185,-0.006942576,-0.068080096,0.072668962,0.059302252,-0.049333619,0.071530967,-0.085074272,0.043182755,-0.042473013,-0.172036451,-0.084433324,0.003706924,0.114777912,0.018383414,-0.228923309,0.050818982,0.051160662,0.078197923,0.051449928,0.061803058,0.00505614,0.076759078,0.069837428,0.029385872,0.008917654,0.070719629,-0.16510425,0.030048828,0.084393109,0.01101039,0.018449744,-0.034708888,-0.014895814,0.062098335,0.095100214,0.034527494,-0.049902149,0.054723168,-0.017561078,-0.029203801,0.043607087,-0.00573449,0.014594712,0.073288294,0.007961675,-0.046972406,0.046125992,0.096059596,0.023314837,0.082573523,0.080596091,-0.009168326,0.034628782,0.015081634,0.04979148,0.014905263,0.06199779,0.073501953,-0.10451398,-0.177300127,0.039830226,0.036293186,-0.026542552,0.031244938,0.168635313,0.070630008,0,0.07393447,0.099672035
-0.093729145,0.059625771,0.001448309,-0.020704624,0.000684248,-0.002289559,0.005716945,0.017920307,-0.026131384,-0.013838165,0.085735223,0.002422723,-0.057637066,-0.07018996,0.035904117,0.061724434,0.03248781,0.022650347,-0.005420629,-0.057946013,-0.03239533,-0.005389078,-0.073096479,-0.068243724,0.024726497,-0.02992225,-0.060167912,0.045644328,0.006492302,0.026669978,0.002596008,-0.029305108,0.034589695,0.003195324,0.041176867,0.068227566,-0.06176162,0.008151786,-0.01187078,-0.079200541,0.019691111,0.051357032,0.014900019,0.033889475,0.052513763,-0.023625482,0.096893725,0.029719588,-0.0127135,-0.081593944,0.021760594,-0.044497464,-0.002168844,0.023070767,0.053909467,0.035184582,-0.042017068,0.03342961,-0.002785315,0.018712305,-0.032970788,-0.065825892,0.002766254,0.017939499,-0.1015598,0.02721839,-0.010891039,0.018699157,0.03954691,0.002731417,-0.034916922,-0.046147392,0.16303034,0.043894585,-0.011696259,0.042120608,-0.01595424,0.041967501,0.028057045,0.043615689,0.038990829,0.022588304,0.002084591,-0.074017342,-0.065902742,0.049931013,0.000942828,-0.061642987,-0.019512208,-0.026392105,0.057000387,0,0.01564087,0.175536013
-0.065856533,0.068124933,-0.03098133,-0.000509053,-0.00291142,0.015768626,-0.02472813,0.024115233,-0.074197517,-0.026386322,0.024781094,-0.039791421,-0.024107701,-0.087122298,0.010648125,-0.057441562,0.025246602,0.011721366,-0.033812614,-0.007337689,0.016766865,-0.040502513,0.057450358,-0.011556106,-0.042099078,-0.022364344,-0.005439509,0.008098311,-0.027771862,-0.002119983,-0.032324664,-0.034894265,-0.014278336,-0.009818308,-0.062330978,-0.017405755,-0.076477926,-0.065663769,-0.038486691,-0.04998918,-0.010011465,-0.037345659,-0.010906104,0.029256097,-0.03226583,-0.047068698,0.05987137,-0.014039323,-0.160930556,-0.024935224,-0.004820691,-0.042750679,0.000841734,-0.022046629,0.050453863,-0.025899653,0.080964123,-0.033263497,-0.036835454,-0.042599179,-0.06114279,-0.092037182,-0.026940402,-0.024146254,-0.036391773,-0.051349904,0.008261448,0.012579187,0.003927993,-0.038124112,-0.013189763,-0.044350176,-0.09256554,0.038447823,-0.026111664,0.013476545,-0.033288266,0.022407233,0.000110137,0.142097223,-0.365282716,-0.008749693,-0.047019568,-0.072839525,-0.102106745,0.03316311,-0.049408283,-0.049401675,0.034722752,-0.133403298,-0.021467996,0,-0.019336186,-0.009941731
0.017385287,-0.009184766,0.07464386,-0.0130643,0.012145714,-0.018061775,0.076563505,0.141228437,0.083119522,-0.014521038,0.057373235,0.043427925,-0.020946755,0.016194193,-0.00416029,0.052758697,0.017920876,-0.009494402,0.054491356,0.037237324,0.006314687,0.069980596,-0.003899676,0.010991797,0.170294598,-0.009039013,0.029787774,0.053882094,0.071452792,0.121797082,0.079663499,0.019331332,0.068425239,-0.07220499,0.002980888,0.025573886,-0.074088087,0.034493749,0.006655857,-0.020939232,0.079650187,0.040209134,0.084942327,-0.004488851,-0.010060959,-0.019031474,0.036328786,0.053640952,-0.27505458,0.030036111,0.080251943,0.060705948,0.022660596,0.062712905,0.044736632,0.032773013,-0.004417685,-0.017305911,0.068533046,-0.007877669,0.17464678,0.058614263,0.046473102,-0.03522991,0.007886505,-0.072629625,0.056064404,-0.011889782,0.09539893,-0.004406456,0.054005165,0.03314224,-0.193381902,0.038175223,0.034351236,0.092212596,0.035953853,0.037125404,0.0291374,0.17007045,-0.169019304,0.057168843,0.082582984,0.064131911,-0.046768319,0.045987224,0.048550482,0.046327805,0.120693715,-0.121605481,0.051194919,0,0.020297626,-0.11524341
-0.151192784,0.006120216,0.006210246,-0.024304517,-0.025479104,-0.007244635,0.001034702,0.020270217,-0.015642552,0.023316623,-0.003549678,-0.014445444,-0.003542013,-0.038222794,-0.001743018,0.009363632,0.04245518,0.012189811,-0.001035209,-0.031862931,0.081153641,-0.00623761,0.125487226,0.029304527,-0.010103022,0.017235235,0.004349416,-0.054667337,-0.011957435,-0.061979351,0.011878968,0.030527198,0.017654908,0.069888381,-0.062500376,0.033026875,-0.045246146,0.015437344,-0.092242057,-0.208642432,-0.006443259,0.024440158,0.014792158,-0.060337563,0.04895371,-0.043981623,0.054548378,0.056753932,0.00533443,0.025277882,0.02047649,-0.103248124,0.027364928,0.019218388,0.0619222,0.013759252,-0.023832146,0.014426365,0.000740917,-0.056287869,-0.050613213,0.022733555,-0.002761261,0.034832244,0.023922986,0.048416256,0.060135379,-0.007659658,0.047307991,-0.143067395,0.025342339,-0.028622483,0.066036153,0.07912011,0.011170977,0.022408141,0.035904855,-0.000653862,0.016075748,0.102095279,0.050545445,0.008936651,-0.008500022,0.002084619,0.046555233,0.046126659,-0.027813315,0.008600888,-0.014976839,-0.134937061,0.009768472,0,0.070309134,-0.007058913
-0.007684916,-0.024257375,0.026596289,-0.028306239,-0.016375588,-0.034037447,0.026829944,0.038982022,-0.100932112,-0.003899228,-0.009370679,0.000175164,-0.062731491,-0.023134666,-0.036994242,-0.036039882,0.058462619,0.022600393,0.043147439,0.001278847,0.045848342,0.020502178,0.044755046,-0.000579336,0.010045991,-0.14474154,0.024358178,-0.076401732,0.022065816,-0.015474708,0.035003807,-0.042056606,0.021402081,0.015125579,0.010808059,-0.214520012,-0.004259928,-0.013622531,0.000366775,-0.139941934,0.028675046,0.01508085,0.005939921,-0.087862019,0.017487615,-0.028926331,0.008194937,0.046216222,-0.235778304,-0.003969914,0.025334376,0.025438452,0.049718594,0.028025823,0.037089837,-0.007187183,0.041655025,-0.092767861,0.022569526,-0.034597065,-0.019239971,-0.087981622,0.009524348,-0.000234885,0.027887452,0.028568837,-0.019384914,0.037965029,0.062792201,-0.002745812,-0.019158133,-0.001198847,-0.07077314,0.027565653,0.008473089,0.017746265,0.008696653,0.01795683,0.017229277,-0.823653387,-0.066826702,-0.005649013,-0.006143011,-0.02232962,-0.062060577,0.029580188,-0.007340552,-0.011303281,-0.003823782,-0.098983914,-0.006184373,0,0.039063116,-0.055167139
-0.008738835,-0.03834224,-0.030405753,-0.028049984,-0.00501607,0.005439003,-0.036952028,0.008949458,0.092080324,-0.018028562,-0.027332034,-0.047853593,-0.06394049,0.098380132,-0.032359971,-0.135403814,0.007460996,-0.003473742,0.031482933,-0.0671792,0.021807288,-0.046205664,0.027135444,-0.005039041,-0.005497207,-0.105755391,0.010909297,-0.119182371,-0.043206521,-0.134037434,-0.031543513,-0.058232677,-0.047424614,0.010858735,0.067265269,-0.104405191,-0.029913855,-0.077054648,-0.03877216,-0.016236548,-0.046487018,-0.02560952,-0.109796657,0.166575955,0.039158924,-0.183506684,0.022504747,-0.020121337,-0.176944112,-0.069374241,-0.010828217,0.009247331,0.024974829,-0.016150645,0.139698833,-0.050487445,0.095809612,0.003917365,-0.030674696,0.02921782,-0.074971018,0.009919171,-0.054283178,-0.002107334,0.013065223,0.023273578,-0.021627427,-0.015025692,-0.070779956,-0.042539066,-0.043462959,-0.051225499,0.03766992,0.038177888,-0.023412477,-0.098238241,0.006393299,0.015134051,-0.004907107,0.07799328,0.006012103,-0.144283764,-0.032279886,-0.014363833,-0.063690696,0.040551318,-0.150791797,-0.085383237,0.030754454,0.020693133,-0.063159961,0,0.047589387,-0.014359785
-0.099825229,-0.010583151,0.006343247,-0.006862519,-0.021519169,-0.00405687,0.014972741,-0.019162255,-0.190528915,-0.01123156,-0.022867872,-0.259362282,-0.029775152,-0.292936531,-0.025093283,-0.124139788,0.035587546,0.077516312,0.060136738,-0.214407826,0.007587371,0.015175818,0.019640587,0.049536511,-0.001702535,-0.140912784,0.025740322,0.040790271,0.000129987,-0.051399278,0.004664601,-0.07103518,0.00686146,0.024656772,0.053571991,0.033006727,-0.058992232,-0.012995994,0.039067768,0.029263482,0.014426008,0.023243142,-0.007341892,-0.024422723,0.01988573,0.060878952,0.046765114,-0.005132553,-0.1034323,-0.060159148,0.019005131,-0.096725225,0.013523478,0.010473357,-0.010472264,0.023415641,0.119852315,0.014121601,0.006714651,0.046044231,-0.232275175,0.119323124,-0.000496934,-0.029579549,-0.001988934,0.006917303,0.004044484,0.040440292,-0.001295367,-0.368944231,-0.026353763,-0.197915099,0.051187022,0.050274827,-0.010270012,-0.018557104,0.028858186,0.022084047,-0.017515554,0.127034683,0.124615841,0.007523913,0.019693077,-0.164526374,-0.01278727,0.028937422,-0.121266388,0.001603535,-0.168788287,0.057572946,0.009107042,0,0.042764964,0.0165388
-0.03169949,0.03692521,0.057436741,-0.001393833,0.027128924,-0.003273777,0.054216127,-0.000793216,0.108508731,0.026660709,0.018809109,0.072336417,-0.007440631,0.059074246,-0.000780261,0.053912972,0.088498233,0.094392581,0.030304003,0.050622166,0.017373032,0.056004202,0.031935911,0.008323196,0.062848193,0.014247154,0.016959155,0.09661723,0.043236054,0.046620865,0.052549297,0.049047013,0.052255805,0.026617018,0.043848227,0.089783785,0.033956342,0.029536742,0.017734512,0.106625338,0.065538645,0.038509603,0.013478,0.06173548,0.028716602,0.074732731,0.067385404,0.036563528,-0.010391917,-0.07312961,0.049707644,0.008178739,0.048588286,0.03611528,-0.186655615,0.017938291,0.055882785,0.008905306,0.059149914,0.041082758,0.04507106,0.217267522,0.060076367,0.036118,-0.014613756,-0.105560348,0.035487998,0.037830276,0.056836864,0.29258331,-0.002018892,0.072855503,-0.036326294,0.047617715,0.026223439,0.046600709,0.02677067,0.005175943,0.021922671,0.00700568,0.034383614,0.049485875,0.050218476,0.024144275,0.037129704,0.040879866,0.089935235,0.014818286,0.089901513,0.131910995,0.054891839,0,0.025261244,-0.008492726
0.024184552,0.013289277,-0.026374244,-0.004419699,0.061259132,0.008101377,-0.033271804,-0.015564924,0.006665368,0.014971531,-0.018993613,0.006225446,-0.079892465,-0.021653562,-0.00613479,0.007852231,0.004519226,0.046943069,-0.005500418,0.048918702,-0.025199841,-0.015247753,0.013272116,-0.012977382,-0.053257726,0.014584104,0.012324853,-0.027055276,-0.019219033,0.030184306,-0.035299516,0.001509805,0.006782597,-0.00013949,0.034913655,-0.012687959,-0.041862179,-0.003196412,0.010251339,0.071864459,0.017541907,0.007808261,0.029130206,0.027849118,-0.071576462,0.093702189,0.009139084,-0.048483114,0.041588761,0.011299821,-0.023942749,0.076168323,0.025091342,0.0158443,0.029033111,0.018170916,0.039239165,-0.016397245,-0.022656461,0.01455977,-0.014498328,0.090026891,0.010531828,-0.013327989,-0.01444689,0.011540207,0.004525195,0.01910528,-0.004276497,-0.062278413,0.013361467,-0.013652425,0.012798421,0.003477661,-0.047576891,-0.001384346,0.005651005,0.002999933,0.001420904,-0.215189771,0.067191563,0.018392188,-0.036788759,0.052026026,0.065012701,0.009313488,0.013435742,0.012955045,0.003996829,-0.009432598,0.003687529,0,0.005192106,-0.054285613
-0.017106489,0.009823521,-0.068841271,0.21568884,-0.012289111,0.002272086,-0.065442633,-0.024450733,-0.051146405,0.000908923,-0.015996203,-0.056208407,0.028423621,-0.044712935,-0.008935872,-0.053218265,0.011041823,0.021069736,0.011688608,-0.06896842,0.002625818,-0.056811892,0.01184848,0.018944242,0.001158982,-0.032585557,-0.033373066,-0.039880116,-0.066067815,-0.060931692,-0.07440654,-0.033903109,-0.031361943,0.023639561,0.004085442,0.030988147,0.008333989,-0.01633348,-0.004751879,-0.051312442,0.013262671,-0.015737766,-0.045318388,0.030549164,-0.061909167,0.004247592,-0.054926142,-0.001769367,0.213589715,0.013342333,-0.055131899,-0.098168535,-0.036370687,-0.050202975,0.054633799,-0.069981055,-0.139397499,0.006683569,-0.057073075,-0.05272543,-0.056922294,0.001939876,-0.029232291,-0.039989505,0.004282196,-0.055475649,-0.023036679,-0.034311481,-0.043381876,0.048299708,-0.013212293,-0.066936672,-0.071216878,-0.018732136,-0.012096409,-0.059937718,0.011716222,0.023251426,-0.000216307,0.08033956,0.00175554,-0.057971893,-0.084240883,-0.010631111,0.042950823,-0.112590147,-0.02537202,-0.024302514,-0.008436965,-0.017874553,0.018986724,0,0.044014615,0.045607876
-0.025305887,-0.060589978,-0.008291726,0.006964845,-0.01159543,0.032614174,-0.009875478,-0.007226045,0.002326658,0.003517823,-0.048824334,0.028389606,-0.06377443,-0.01030934,-0.03658489,0.019268553,-0.043729634,0.006441172,-0.060981237,-0.104199872,0.007089882,-0.011854639,0.008677166,-0.029232413,-0.062005858,-0.072976071,-0.125749266,0.003736906,-0.005688863,-0.104610306,-0.013633766,0.006383219,-0.017406622,0.008429014,-0.038412278,0.020628461,0.014890705,0.027042564,-0.021345469,-0.039714469,0.013509091,-0.024416084,-0.009219993,-0.00292672,-0.05989005,0.000724534,-0.194085513,-0.053071885,0.021539962,-0.077510316,-0.011417099,-0.018556425,-0.171843004,-0.025243443,0.00118123,0.049531555,0.111865326,-0.03278261,2.60235E-05,-0.092782515,0.028746467,0.006647939,-0.041040182,-0.033076063,0.007546867,-0.149035174,-0.060067382,-0.130806167,0.003954336,-0.001485953,-0.08367959,0.003347294,-0.125164271,-0.101004647,-0.067429424,0.00029793,-0.00168357,-0.014635405,0.012720648,-0.044950589,0.051592999,-0.01478666,-0.007537712,-0.009749199,0.007651167,-0.145134434,-0.006603893,0.00227598,0.136720564,-0.010437251,0.004974221,0,0.003740871,-0.115142857
-0.023439424,-0.037209037,-0.024269618,0.022865818,-0.018713537,-0.002007171,-0.022899109,-0.004498547,0.140765897,-0.040323858,0.028004875,0.048093773,-0.075501401,-0.022767029,0.004445507,-0.092258184,-0.061962489,0.001388752,-0.086171018,0.04900347,-0.012685725,-0.02048419,-0.018946659,-0.182542318,-0.035166934,-0.041149038,0.042242038,-0.018484591,-0.026557835,-0.015337358,-0.030338062,-0.018532386,-0.028660418,-0.056532228,-0.036192769,0.018106821,-0.029624114,-0.002912634,0.007538678,-0.014466071,0.013641512,-0.029365458,-0.027564247,-0.019829614,0.031309657,-0.072173364,0.088714763,-0.03070704,0.043889333,0.092529772,0.008859957,-0.047301298,0.007698437,-0.00919099,0.025432819,-0.029713221,0.092024354,-0.013832613,-0.015445576,-0.00455863,-0.053939928,-0.599837455,-0.002029864,-0.028416738,-0.009733678,-0.073955429,-0.050709735,0.029011353,-0.011709618,0.008554821,0.009427187,-0.02570443,-0.025814621,-0.022078539,-0.03043806,-0.012319912,-0.027814961,-0.00156003,-0.001345971,-0.054487762,-0.127622873,-0.016565427,-0.031567953,-0.013696575,-0.01430927,0.020697063,-0.036999377,0.028878761,-0.059868667,-0.075985286,-0.014003292,0,-0.048262106,-0.049507756
0.023362457,0.001368595,-0.065170522,-0.006993888,-0.013100625,-0.007491994,-0.060970894,0.019908663,-0.054446772,-0.024213623,-0.007819086,-0.092837357,0.001189509,-0.072942743,0.014233649,-0.080549369,-0.011659742,0.018569786,0.034265074,0.098145463,-0.008301,-0.058774976,0.011715543,-0.078934187,0.022940468,-0.016291909,-0.0891786,-0.053898583,-0.064002849,0.003870972,-0.074679299,-0.22321456,-0.06264455,-0.010402563,-0.011790575,0.184753442,0.015246959,-0.026095061,-0.021196614,-0.045947641,-0.022310751,0.017416568,-0.060767295,-0.019180789,0.007092378,-0.041382732,0.037868522,-0.035503388,0.257915381,-0.003626596,-0.04156649,-0.001175128,0.040409665,0.004314526,0.041104866,-0.05979742,-0.006123825,0.008348405,-0.055077225,-0.07272469,-0.090989378,0.034451806,-0.001457849,0.162987124,-0.024635616,-0.031746329,-0.029706143,-0.041988637,-0.056610444,-0.045808233,0.035659567,-0.072441089,-0.055000969,0.01689821,-0.025758681,-0.049939786,-0.006392216,-0.01253436,0.017966579,0.024860767,-0.000983365,-0.041130748,-0.052784628,0.043415474,-0.012306438,-0.027521184,-0.058578815,0.054375269,0.000722209,-0.021997897,-0.029579191,0,-0.045547965,-0.009914729
